name,tag,iteration,mode,FWTMx,FWHMx,FWTMy,FWHMy

0932,1mm,1,MLEM,11.483,5.618,6.978,4.154
0923,1mm,1,MLEM,14.025,7.029,6.437,3.714
0916,1mm,1,MLEM,11.591,5.608,7.367,4.314
1732,1mm,1,MLEM,9.842,4.686,4.727,2.371
1723,1mm,1,MLEM,7.352,3.045,4.450,2.441
1716,1mm,1,MLEM,9.546,4.711,4.658,2.488
2532,1mm,1,MLEM,11.041,5.646,7.472,4.495
2523,1mm,1,MLEM,14.858,6.947,6.511,4.116
2516,1mm,1,MLEM,11.015,5.546,7.044,4.188

0932,25mm,1,MLEM,14.349,6.701,7.371,3.836
0923,25mm,1,MLEM,9.732,7.996,6.318,3.683
0916,25mm,1,MLEM,14.501,6.300,7.326,3.933
1732,25mm,1,MLEM,14.712,4.930,4.469,2.199
1723,25mm,1,MLEM,10.720,7.107,7.678,2.070
1716,25mm,1,MLEM,11.869,5.447,4.281,1.804
2532,25mm,1,MLEM,17.354,5.325,7.244,4.328
2523,25mm,1,MLEM,34.309,7.399,6.037,3.717
2516,25mm,1,MLEM,5.217,5.914,7.195,4.570
0932,5mm,1,MLEM,12.254,5.311,7.033,3.958
0923,5mm,1,MLEM,15.134,7.410,6.210,3.490
0916,5mm,1,MLEM,11.742,6.012,7.341,4.103
1732,5mm,1,MLEM,10.238,4.983,4.450,2.404
1723,5mm,1,MLEM,10.695,3.203,6.242,2.113
1716,5mm,1,MLEM,9.783,4.822,4.354,2.402
2532,5mm,1,MLEM,12.115,5.758,7.379,4.515
2523,5mm,1,MLEM,17.869,7.607,5.851,3.573
2516,5mm,1,MLEM,12.274,5.809,7.132,4.309
0932,5mm,3,MLEM,10.547,4.144,6.999,3.704
0923,5mm,3,MLEM,13.161,5.971,6.290,3.457
0916,5mm,3,MLEM,10.744,4.407,7.337,4.068
1732,5mm,3,MLEM,9.044,4.056,4.686,2.442
1723,5mm,3,MLEM,10.366,2.931,5.888,2.139
1716,5mm,3,MLEM,8.224,3.945,4.351,2.406
2532,5mm,3,MLEM,9.292,5.077,7.486,4.534
2523,5mm,3,MLEM,18.137,6.430,5.874,3.135
2516,5mm,3,MLEM,9.585,4.735,7.123,4.341
0932,5mm,10,MLEM,9.003,3.561,7.004,3.634
0923,5mm,10,MLEM,10.420,4.773,6.305,3.434
0916,5mm,10,MLEM,9.956,3.561,7.333,3.994
1732,5mm,10,MLEM,7.073,3.173,4.746,2.421
1723,5mm,10,MLEM,9.154,2.894,5.856,2.182
1716,5mm,10,MLEM,7.831,3.106,4.362,2.387
2532,5mm,10,MLEM,8.256,3.390,7.507,4.558
2523,5mm,10,MLEM,11.935,4.770,6.601,3.082
2516,5mm,10,MLEM,8.417,4.468,7.091,4.296
0932,t,3,MLEM,9.246,3.298,6.944,2.585
0923,t,3,MLEM,13.219,5.277,6.273,3.490
0916,t,3,MLEM,10.121,3.927,7.248,4.119
1732,t,3,MLEM,7.709,3.776,4.610,2.401
1723,t,3,MLEM,6.704,2.841,5.775,2.161
1716,t,3,MLEM,8.277,4.008,4.378,2.475
2532,t,3,MLEM,10.030,4.567,7.479,4.596
2523,t,3,MLEM,13.591,6.145,5.890,3.393
2516,t,3,MLEM,8.896,4.754,7.123,4.285
0932,n,3,MLEM,10.561,3.237,6.985,1.917
0923,n,3,MLEM,13.631,6.101,6.307,3.492
0916,n,3,MLEM,9.293,5.403,7.353,4.143
1732,n,3,MLEM,8.007,3.785,4.682,2.423
1723,n,3,MLEM,6.994,2.940,4.617,1.371
1716,n,3,MLEM,8.448,4.418,4.357,2.400
2532,n,3,MLEM,9.412,5.187,7.507,4.625
2523,n,3,MLEM,11.806,6.313,5.890,3.548
2516,n,3,MLEM,8.956,5.000,7.155,4.315
0932,25mm,3,MLEM,12.736,3.195,6.727,0.683
0923,25mm,3,MLEM,13.201,6.059,6.142,3.562
0916,25mm,3,MLEM,11.381,5.417,7.306,3.882
1732,25mm,3,MLEM,9.829,4.274,4.264,2.162
1723,25mm,3,MLEM,7.006,2.455,4.689,2.032
1716,25mm,3,MLEM,9.646,4.456,4.229,1.689
2532,25mm,3,MLEM,11.608,3.407,7.066,4.245
2523,25mm,3,MLEM,14.878,6.106,5.623,2.558
2516,25mm,3,MLEM,12.361,4.738,6.707,4.649
0932,25mm,1,MLEM,13.785,5.699,6.999,2.880
0923,25mm,1,MLEM,15.099,7.366,6.318,3.683
0916,25mm,1,MLEM,13.926,6.300,7.326,3.933
1732,25mm,1,MLEM,11.401,4.930,4.469,2.199
1723,25mm,1,MLEM,7.513,3.045,4.940,2.070
1716,25mm,1,MLEM,9.885,4.807,4.281,1.804
2532,25mm,1,MLEM,14.582,4.733,7.244,4.328
2523,25mm,1,MLEM,16.716,7.399,5.647,2.711
2516,25mm,1,MLEM,11.141,5.606,6.701,4.570
