name,tag,iteration,mode,FWTMx,FWHMx,FWTMy,FWHMy
pr0,1n,1,MLEM,6.204,3.169,4.660,2.440
pR0,1n,1,MLEM,23.766,11.284,7.694,4.168
pR1,1n,1,MLEM,10.502,5.358,7.106,4.009
pR2,1n,1,MLEM,10.986,5.952,4.502,2.404
pR3,1n,1,MLEM,10.386,5.166,7.076,4.076
pR4,1n,1,MLEM,21.528,11.700,7.713,4.519
pR5,1n,1,MLEM,9.787,4.914,7.082,4.117
pR6,1n,1,MLEM,10.351,5.512,4.559,2.452
pR7,1n,1,MLEM,9.564,4.968,6.918,3.968
pr0,1,1,MLEM,6.097,3.277,4.504,2.385
pR0,1,1,MLEM,45.120,11.015,7.613,4.269
pR1,1,1,MLEM,10.410,5.380,6.788,3.957
pR2,1,1,MLEM,10.098,4.808,4.455,2.391
pR3,1,1,MLEM,10.145,5.133,6.764,3.950
pR4,1,1,MLEM,26.995,11.270,7.533,4.473
pR5,1,1,MLEM,9.794,5.057,6.924,4.021
pR6,1,1,MLEM,10.627,5.644,4.358,2.298
pR7,1,1,MLEM,9.585,4.987,6.681,3.868
pr0,1n,1,MLEM,6.108,3.289,4.502,2.383
pR0,1n,1,MLEM,24.968,11.019,7.606,4.262
pR1,1n,1,MLEM,10.420,5.381,6.788,3.958
pR2,1n,1,MLEM,10.794,5.789,4.374,2.336
pR3,1n,1,MLEM,10.147,5.132,6.763,3.946
pR4,1n,1,MLEM,28.625,11.276,7.530,4.468
pR5,1n,1,MLEM,9.792,5.056,6.913,4.019
pR6,1n,1,MLEM,10.391,5.595,4.349,2.297
pR7,1n,1,MLEM,9.591,4.992,6.680,3.869
pr0,1ns,1,MLEM,7.315,3.178,4.290,1.729
pR0,1ns,1,MLEM,27.633,10.664,7.760,4.369
pR1,1ns,1,MLEM,10.176,5.263,6.767,3.932
pR2,1ns,1,MLEM,10.821,5.700,4.314,2.278
pR3,1ns,1,MLEM,9.996,5.024,6.791,3.914
pR4,1ns,1,MLEM,27.058,10.812,7.527,4.478
pR5,1ns,1,MLEM,9.698,5.062,6.806,3.949
pR6,1ns,1,MLEM,10.294,5.307,4.377,2.339
pR7,1ns,1,MLEM,9.410,4.790,6.715,3.893
pr0,1n,1,MLEM,6.108,3.289,4.502,2.383
pR0,1n,1,MLEM,24.968,11.019,7.606,4.262
pR1,1n,1,MLEM,10.420,5.381,6.788,3.958
pR2,1n,1,MLEM,10.794,5.789,4.374,2.336
pR3,1n,1,MLEM,10.147,5.132,6.763,3.946
pR4,1n,1,MLEM,28.625,11.276,7.530,4.468
pR5,1n,1,MLEM,9.792,5.056,6.913,4.019
pR6,1n,1,MLEM,10.391,5.595,4.349,2.297
pR7,1n,1,MLEM,9.591,4.992,6.680,3.869
pr0,1,1,MLEM,6.144,3.340,4.374,2.322
pR0,1,1,MLEM,32.545,11.213,7.652,4.313
pR1,1,1,MLEM,10.406,5.367,6.812,3.947
pR2,1,1,MLEM,9.951,4.641,4.455,2.385
pR3,1,1,MLEM,10.152,5.109,6.798,3.983
pR4,1,1,MLEM,28.638,11.462,7.520,4.508
pR5,1,1,MLEM,9.756,5.000,6.882,4.025
pR6,1,1,MLEM,10.684,5.697,4.373,2.318
pR7,1,1,MLEM,9.625,4.971,6.710,3.889
pr0,1,1,MLEM,6.144,3.340,4.374,2.322
pR0,1,1,MLEM,32.545,11.213,7.652,4.313
pR1,1,1,MLEM,10.406,5.367,6.812,3.947
pR2,1,1,MLEM,9.951,4.641,4.455,2.385
pR3,1,1,MLEM,10.152,5.109,6.798,3.983
pR4,1,1,MLEM,28.638,11.462,7.520,4.508
pR5,1,1,MLEM,9.756,5.000,6.882,4.025
pR6,1,1,MLEM,10.684,5.697,4.373,2.318
pR7,1,1,MLEM,9.625,4.971,6.710,3.889
pr0,1n,1,MLEM,6.153,3.346,4.371,2.322
pR0,1n,1,MLEM,25.270,11.211,7.643,4.305
pR1,1n,1,MLEM,10.431,5.368,6.810,3.945
pR2,1n,1,MLEM,10.784,5.787,4.351,2.315
pR3,1n,1,MLEM,10.154,5.111,6.795,3.979
pR4,1n,1,MLEM,28.358,11.461,7.516,4.503
pR5,1n,1,MLEM,9.754,4.999,6.870,4.021
pR6,1n,1,MLEM,10.386,5.639,4.360,2.317
pR7,1n,1,MLEM,9.631,4.978,6.711,3.891
pr0,1ns,1,MLEM,6.131,3.347,4.372,2.324
pR0,1ns,1,MLEM,29.727,11.282,7.652,4.288
pR1,1ns,1,MLEM,10.550,5.406,6.842,3.956
pR2,1ns,1,MLEM,10.593,5.599,4.356,2.321
pR3,1ns,1,MLEM,10.199,5.134,6.807,3.987
pR4,1ns,1,MLEM,27.923,12.424,7.531,4.491
pR5,1ns,1,MLEM,9.852,5.045,6.861,4.028
pR6,1ns,1,MLEM,10.755,5.877,4.335,2.293
pR7,1ns,1,MLEM,9.611,4.957,6.682,3.881
