init param,init param,isotope,a,err,rela,,,,,redchi,bins,,,,,,,,,,
1800,600,C10,6180.793369,53.38997485,70.4038273,C11,2598.265393,5.233082292,29.5961727,5.271,5,,1236.158674,519.6530785,,,,,,,
,,C10,12817.28007,107.8224307,71.62554922,C11,5077.563615,10.36960997,28.37445078,35.96,10,,1281.728007,507.7563615,,,,,,,
,,C10,12572.55173,136.4942504,62.82558627,C11,7439.281786,15.3984973,37.17441373,193.613,15,,838.1701155,495.9521191,,,,,,,
,,C10,19444.15053,189.081223,66.9632611,C11,9592.891889,19.56113107,33.0367389,229.578,20,,972.2075264,479.6445944,,,,,,,
,,C10,28662.00302,243.7602719,71.17930845,C11,11605.32136,22.6370411,28.82069155,228.568,25,,1146.480121,464.2128542,,,,,,,
,,C10,33826.39994,292.3373842,70.97469725,C11,13833.40172,26.34641985,29.02530275,322.599,30,,1127.546665,461.1133907,,,,,,,
,,C10,40958.43223,351.6783927,71.7169645,C11,16152.78618,30.79553796,28.2830355,344.284,35,,1170.240921,461.5081766,,,,,,,
,,C10,47689.55683,414.6964384,71.88342914,C11,18653.35057,35.43271899,28.11657086,233.728,40,,1192.238921,466.3337643,,,,,,,
,,C10,54297.89313,472.1787415,72.44146727,C11,20656.26666,39.25505716,27.55853273,208.945,45,,1206.619847,459.028148,,,,,,,
,,C10,62761.85032,547.6815344,73.0909735,C11,23106.27718,43.96629776,26.9090265,205.239,50,,1255.237006,462.1255437,,,,,,,
7000,3000,C10,6180.793636,53.38997375,70.40382771,C11,2598.265454,5.233082293,29.59617229,5.271,5,,,,,,,,,,
,,C10,12817.28128,107.8223708,71.6255501,C11,5077.563871,10.36960941,28.3744499,35.96,10,,,,,,,,,,
,,C10,12572.55346,136.4937728,62.82558807,C11,7439.282233,15.39849092,37.17441193,193.613,15,,,,,,,,,,
,,C10,19444.15333,189.0821796,66.9632628,C11,9592.892532,19.56114138,33.0367372,229.578,20,,,,,,,,,,
,,C10,28662.00691,243.760286,71.17930979,C11,11605.32217,22.63704142,28.82069021,228.568,25,,,,,,,,,,
,,C10,33826.40459,292.3327467,70.97469862,C11,13833.4027,26.3463914,29.02530138,322.599,30,,,,,,,,,,
,,C10,40958.43808,351.6782697,71.7169659,C11,16152.78737,30.79552469,28.2830341,344.284,35,,,,,,,,,,
,,C10,47689.56399,414.7029936,71.88343065,C11,18653.35198,35.43276033,28.11656935,233.728,40,,,,,,,,,,
